2024-06-16 16:00:16.528 INFO  com.hasity.business.BusinessApplication            50   restartedMain                     Starting BusinessApplication using Java 17.0.7 with PID 9844 (D:\BaiduNetdiskDownload\nls\business\target\classes started by zjw16 in D:\BaiduNetdiskDownload\nls)
2024-06-16 16:00:16.528 INFO  com.hasity.business.BusinessApplication            654  restartedMain                     No active profile set, falling back to 1 default profile: "default"
2024-06-16 16:00:16.713 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer       109  restartedMain                     Tomcat initialized with port 18000 (http)
2024-06-16 16:00:16.714 INFO  org.apache.coyote.http11.Http11NioProtocol         173  restartedMain                     Initializing ProtocolHandler ["http-nio-18000"]
2024-06-16 16:00:16.714 INFO  org.apache.catalina.core.StandardService           173  restartedMain                     Starting service [Tomcat]
2024-06-16 16:00:16.714 INFO  org.apache.catalina.core.StandardEngine            173  restartedMain                     Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-06-16 16:00:16.726 INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/nls]  173  restartedMain                     Initializing Spring embedded WebApplicationContext
2024-06-16 16:00:16.726 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     296  restartedMain                     Root WebApplicationContext: initialization completed in 197 ms
2024-06-16 16:00:17.155 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer     59   restartedMain                     LiveReload server is running on port 35729
2024-06-16 16:00:17.162 INFO  org.apache.coyote.http11.Http11NioProtocol         173  restartedMain                     Starting ProtocolHandler ["http-nio-18000"]
2024-06-16 16:00:17.166 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer       241  restartedMain                     Tomcat started on port 18000 (http) with context path '/nls'
2024-06-16 16:00:17.171 INFO  com.hasity.business.BusinessApplication            56   restartedMain                     Started BusinessApplication in 0.661 seconds (process running for 916.113)
2024-06-16 16:00:17.172 INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener  63   restartedMain                     Condition evaluation unchanged
2024-06-16 16:00:17.173 INFO  com.hasity.business.BusinessApplication            18   restartedMain                     启动成功! 
2024-06-16 16:00:17.173 INFO  com.hasity.business.BusinessApplication            19   restartedMain                     测试地址: http://localhost:18000/nls/hello
